Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.4%  LazyCompile: *getTokenFromCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:3125:19
      1    0.0%    0.4%  LazyCompile: *formatRaw node:internal/util/inspect:828:19
      1    0.0%    0.4%  LazyCompile: *filter C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:411:19
      1    0.0%    0.4%  LazyCompile: *eachOf C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1088:19
      1    0.0%    0.4%  LazyCompile: *doctype C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:431:20
      1    0.0%    0.4%  LazyCompile: *dirname node:path:653:10
      1    0.0%    0.4%  LazyCompile: *currentFlags C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:4065:15
      1    0.0%    0.4%  LazyCompile: *curPosition C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2112:14
      1    0.0%    0.4%  LazyCompile: *compileAttrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:22:22
      1    0.0%    0.4%  LazyCompile: *checkLVal C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12269:12
      1    0.0%    0.4%  LazyCompile: *case C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:855:17
      1    0.0%    0.4%  LazyCompile: *blockCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1203:22
      1    0.0%    0.4%  LazyCompile: *blank C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:337:18
      1    0.0%    0.4%  LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-parser\index.js:1270:18
      1    0.0%    0.4%  LazyCompile: *attributesBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1467:28
      1    0.0%    0.4%  LazyCompile: *asString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\date-format\lib\index.js:29:18
      1    0.0%    0.4%  LazyCompile: *applyPlugins C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:43:22
      1    0.0%    0.4%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:594:37
      1    0.0%    0.4%  LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-strip-comments\index.js:28:31
      1    0.0%    0.4%  LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-linker\index.js:193:21
      1    0.0%    0.4%  Function: ^walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1    0.0%    0.4%  Function: ^validateString node:internal/validators:119:24
      1    0.0%    0.4%  Function: ^toConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:9:24
      1    0.0%    0.4%  Function: ^stripComments C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-strip-comments\index.js:12:23
      1    0.0%    0.4%  Function: ^stringToFlags node:internal/fs/utils:558:23
      1    0.0%    0.4%  Function: ^resetQueue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\graceful-fs\graceful-fs.js:383:21
      1    0.0%    0.4%  Function: ^resOnFinish node:_http_server:816:21
      1    0.0%    0.4%  Function: ^prepend C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:701:20
      1    0.0%    0.4%  Function: ^interpolation C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:369:26
      1    0.0%    0.4%  Function: ^get node:_http_incoming:112:16
      1    0.0%    0.4%  Function: ^expressInit C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\middleware\init.js:29:30
      1    0.0%    0.4%  Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      1    0.0%    0.4%  Function: ^emit node:events:460:44
      1    0.0%    0.4%  Function: ^addAttribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:54:24
      1    0.0%    0.4%  Function: ^StatementParser C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:14754:1
      1    0.0%    0.4%  Function: ^Module._load node:internal/modules/cjs/loader:771:24
      1    0.0%    0.4%  Function: ^<anonymous> file:///C:/personal/coder/backend/desafios/desafio-13-coderhouse/src/app.js:219:18
      1    0.0%    0.4%  Function: ^<anonymous> :6:15

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
    269    0.4%   97.1%  JavaScript
      0    0.0%    0.0%  C++
     43    0.1%   15.5%  GC
  67517   99.6%          Shared libraries
      8    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  65963   97.3%  C:\WINDOWS\SYSTEM32\ntdll.dll

   1550    2.3%  C:\Program Files\nodejs\node.exe
   1022   65.9%    C:\Program Files\nodejs\node.exe
    225   22.0%      Function: ^handleWriteReq node:internal/stream_base_commons:45:24
    195   86.7%        Function: ^writeGeneric node:internal/stream_base_commons:147:22
    105   53.8%          LazyCompile: *Writable.write node:internal/streams/writable:335:36
     73   69.5%            LazyCompile: *value node:internal/console/constructor:271:20
     32   30.5%            Function: ^value node:internal/console/constructor:271:20
     90   46.2%          Function: ^Socket._writeGeneric node:net:848:42
     90  100.0%            Function: ^Socket._write node:net:885:35
     30   13.3%        LazyCompile: *_write node:internal/streams/writable:285:16
     30  100.0%          Function: ^Writable.write node:internal/streams/writable:335:36
     30  100.0%            Function: ^value node:internal/console/constructor:271:20
     73    7.1%      Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
     73  100.0%        Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:85:18
     64   87.7%          Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
     52   81.3%            Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      8   12.5%            LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      4    6.3%            Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
